Institution Name,System Name,Address,City,Zip Code,Administrative Officer,Administrative Officer Title,Main,Website Address
Dallas College Cedar Valley Campus,Dallas County Community College District,3030 North Dallas Avenue,Lancaster,75134,Joe Seabrooks,President,(972) 860-8200,www.dcccd.edu/about/cvc/
Dallas College Eastfield Campus,Dallas County Community College District,3737 Motley Drive,Mesquite,75150,Eddie Tealer,President,(972) 860-7001,www.dcccd.edu/about/efc/
Dallas College El Centro Campus,Dallas County Community College District,801 Main Street,Dallas,75202,Bradford Williams,President,(214) 860-2000,www.dcccd.edu/about/ecc/
Dallas College Mountain View Campus,Dallas County Community College District,4849 West Illinois Avenue,Dallas,75211-6599,Kenneth Gonzalez,President,(972) 860-8700,www.dcccd.edu/about/mvc/
Dallas College North Lake Campus,Dallas County Community College District,5001 North MacArthur Boulevard,Irving,75038-3899,Christa Slejko,President,(972) 273-3010,www.dcccd.edu/about/nlc/
Dallas College Richland Campus,Dallas County Community College District,12800 Abrams Road,Dallas,75243-2199,Kay Eggleston,President,(972) 238-6106,www.dcccd.edu/about/rlc/
Del Mar College,,101 Baldwin Boulevard,Corpus Christi,78404,Mark Escamilla,President,(361) 698-1200,www.delmar.edu
East Texas A&M University,Texas A&M University System,1700 Hwy 24,Commerce,75429,Mark Rudin,President,(903) 886-5014,www.tamuc.edu
East Texas Baptist University,,One Tiger Drive,Marshall,75670,Blair Blackburn,President,(903) 923-2222,www.etbu.edu
El Paso Community College District,,P.O. Box 20500,El Paso,79998,William Serrata,President,(915) 831-2000,www.epcc.edu
Frank Phillips College,,P.O. Box 5118,Borger,79008-5118,Glendon Forgey,President,(806) 457-4200,www.fpctx.edu
Galveston College,,4015 Avenue Q,Galveston,77550,Myles Shelton,President,(409) 944-4242,www.gc.edu
Grayson College,,6101 Highway 691,Denison,75020,Jeremy McMillen,President,(903) 465-6030,www.grayson.edu
Hardin-Simmons University,,2200 Hickory,Abilene,79698,Eric Bruntmyer,President,(325) 670-1226,www.hsutx.edu
Hill College,,112 Lamar Drive,Hillsboro,76645,Thomas Mills,President,(254) 659-7500,www.hillcollege.edu/
Houston Christian University,,7502 Fondren Road,Houston,77074,"Robert Sloan, Jr.",President,(281) 649-3450,www.hbu.edu
Houston City College,Houston City College,3100 Main Street,Houston,77002,Margaret F. Fisher.,Interim Chancellor,(713) 718-5059,www.hccs.edu
Houston City College - Central Campus,Houston City College,1300 Holman,Houston,77004,Muddassir Siddiqi,President,(713) 718-6040,www.hccs.edu/locations/central-college/central-campus/ 
Houston City College - Northeast Campus,Houston City College,401 Northline Mall,Houston,77022,Margaret Ford Fisher,President,(713) 718-8010,www.hccs.edu/locations/northeast-college/northeast-campus/ 
Houston City College - Northwest College,Houston City College,"1550 Foxlake Drive, Suite 101",Houston,77084,Zachary R. Hodges,President,(713) 718-5721,www.hccs.edu/locations/northwest-college/ 
Houston City College - Southwest College,Houston City College,6815 Rustic,Houston,77087,Madeline Burrillo,President,(713) 718-7071,www.hccs.edu/locations/southwest-college/
Howard College,Howard County Junior College District,1001 Birdwell Lane,Big Spring,79720,Cheryl T. Sparks,President,(915) 264-5000,www.howardcollege.edu
Howard County Junior College Districtâ€“SouthWest College for the Deaf,Howard County Junior College District,3200 Avenue C,Big Spring,79720,Cheryl T. Sparks,President,(915) 264-3700,www.howardcollege.edu/swcid/
Howard Payne University,,1000 Fisk Street,Brownwood,76801,Cory Hines,President,(325) 649-8000,www.hputx.edu
Huston-Tillotson University,,900 Chicon Street,Austin,78702-2795,Dr. Colette Pierce Burnette,President,(512) 505-3001,www.htu.edu
Jacksonville College,,105 B.J. Albritton Drive,Jacksonville,75766,Joseph Lightner,President,(903)586-2518,www.jacksonville-college.edu
Jarvis Christian University,,P.O. Box 1470,Hawkins,75765,Lester Newman,President,(903) 730-4890,www.jarvis.edu
Kilgore College,,1100 Broadway,Kilgore,75662,Brenda Kays,President,(903) 984-8531,www.kilgore.edu
Lamar Institute of Technology,Texas State University System,855 East Lavaca,Beaumont,77710,Sidney E Valentine,President,(409) 880-8185,www.lit.edu
Lamar State College-Orange,Texas State University System,410 Front Street,Orange,77630,Thomas A. Johnson,President,(409) 883-7750,www.lsco.edu
Lamar State College-Port Arthur,Texas State University System,1500 Procter Street,Port Arthur,77641-0310,Betty J. Reynard,President,(409) 983-4921,www.lamarpa.edu
Lamar University,Texas State University System,4400 Martin L. King Boulevard,Beaumont,77710,Jaime R. Taylor,President,(409) 880-7011,www.lamar.edu
Laredo College,,West End Washington Street,Laredo,78040-4395,Merisela R. Tijerina,Interim President,(956) 722-0521,www.laredo.edu
Lee College,,200 Lee Drive,Baytown,77520-4703,Lynda Villanueva,President,(281) 427-5611,www.lee.edu
LeTourneau University,,2100 South Mobberly Avenue,Longview,75602,Steven Mason,Acting President,(903) 233-3100,www.letu.edu
Lone Star College - Connect Campus,Lone Star College System,5000 Research Forest Drive,The Woodlands,77381,Seelpa Keshvala,Executive Vice Chancellor/CEO,(832) 813-6500,www.lonestar.edu/lsc-online/
Lone Star College - Cy-Fair,Lone Star College System,9191 Barker Cypress Road,Houston,77433,Valerie Jones,President,(281) 290-3200,www.lonestar.edu/cyfair.htm
Lone Star College - Houston North,Lone Star College System,250 North Sam Houston Parkway East,Houston,77060,Quentin Ashley Wright,President,(281) 260-3500,www.lonestar.edu/houstonNorth
Lone Star College - Kingwood,Lone Star College System,20000 Kingwood Drive,Kingwood,77339,Melissa N. Gonzalez,President,(281) 312-1600,www.lonestar.edu/kingwood.htm
Lone Star College - Montgomery,Lone Star College System,3200 College Park Drive,Conroe,77384,De' Reese Reid-Hart,President,(936) 273-7000,www.lonestar.edu/montgomery.htm
Lone Star College - North Harris,Lone Star College System,2700 West West Thorne Drive,Houston,77073,Bennie Lambert,President,(281) 618-5400,www.lonestar.edu/northharris.htm
Lone Star College - Tomball,Lone Star College System,30555 Tomball Parkway,Tomball,77375,Lee Ann Nutt,President,(281) 351-3300,www.lonestar.edu/tomball.htm
Lone Star College - University Park,Lone Star College System,20515 SH249 (SH 249 and Louetta Road),Houston,77070,Virginia M. Fraire,President,(281) 290-2600,www.lonestar.edu/universitypark.htm
Lubbock Christian University,,5601 19th Street,Lubbock,79407,Scott McDowell,President,(806) 720-7127,www.lcu.edu
McLennan Community College,,1400 College Drive,Waco,76708,Johnette McKown,President,(254) 299-8000,www.mclennan.edu
McMurry University,,1400 Sayles Blvd,Abilene,79697,Sandra Harper,President/CEO,(325) 793-3801,www.mcm.edu
Midland College,,3600 North Garfield,Midland,79705,Damon Kennedy,President,(432) 685-4500,www.midland.edu
Midwestern State University,Texas Tech University System,3410 Taft Boulevard,Wichita Falls,76308-2099,Stacia Haynie,President,(940) 397-4000,www.mwsu.edu
Navarro College,,3200 West 7th Avenue,Corsicana,75110,Kevin Fegan,President,(903) 874-6501,www.navarrocollege.edu
Nelson University,,1200 Sycamore,Waxahachie,75166,Kermit S. Bridges,President,(972) 825-4652,www.sagu.edu
North Central Texas College,,1525 West California Street,Gainesville,76240,Brent Wallace,President,(940) 668-7731,www.nctc.edu
Northeast Texas Community College,,2886 FM 1735 Chapel Hill Road,Mount Pleasant,75456-1307,Ron Clinton,President,(903) 572-1911,www.ntcc.edu
Odessa College,,201 West University,Odessa,79764,Gregory Williams,President,(432) 335-6400,www.odessa.edu
Our Lady of the Lake University of San Antonio,,411 S.W. 24th Street,San Antonio,78207,Abel A. ChÃ¡vez,President,(210) 431-3950,www.ollusa.edu
Panola College,,1109 West Panola Street,Carthage,75633,Jessica Pace,President,(903) 693-2000,www.panola.edu
Paris Junior College,,2400 Clarksville Street,Paris,75460,Jerry King,President,(903) 785-7661,www.parisjc.edu
Parker University,,2540 Walnut Hill Lane,Dallas,75229,William Morgan,President,(972)438-6932,www.parker.edu
Paul Quinn College,,3837 Simpson Stuart Road,Dallas,75241,Michael Sorrell,President,(214) 379-5515,www.pqc.edu
Prairie View A&M University,Texas A&M University System,FM 1098 & University Drive,Prairie View,77446,Tomikia P. LeGrande,President,(936) 857-3311,www.pvamu.edu
Ranger College,,1100 College Circle,Ranger,76470,Derrick Worrels,President,(254) 647-3234,www.rangercollege.edu
Rice University,,6100 Main,Houston,77005,David Leebron,President,(713) 348-5050,www.rice.edu
Sam Houston State University,Texas State University System,1806 Avenue J,Huntsville,77341,Alisa White,President,(866) 294-1111,www.shsu.edu
Sam Houston State University College of Osteopathic Medicine,Texas State University System,925 City Central Ave.,Conroe,77304,Dana G. Hoyt,President,(936) 202-5202,www.shsu.edu/academics/osteopathic-medicine/
San Jacinto College Central Campus,San Jacinto College District,8060 Spencer Highway,Pasadena,77505,Van Wigginton,Provost,(281) 476-1501,www.sjcd.edu
San Jacinto College North Campus,San Jacinto College District,5800 Uvalde Road,Houston,77049,William Raffetto,Provost,(281) 458-4050,www.sjcd.edu
San Jacinto College South Campus,San Jacinto College District,13735 Beamer Road,Houston,77089,Brenda Jones,Provost,(713) 484-1900,www.sjcd.edu
Schreiner University,,2100 Memorial Boulevard Murray Administration Building,Kerrville,78028,Charlie T. McCormick,President,(830) 792-7346,www.schreiner.edu
SHSU Polytechnic College,Texas State University System,,,,,,,
South Plains College,,1401 College Avenue,Levelland,79336,Robin Satterwhite,President,(806) 894-9611,www.southplainscollege.edu
South Texas College,,3201 West Pecan,McAllen,78502-9701,Ricardo Solis,President,(956) 872-8311,www.southtexascollege.edu
South Texas College of Law Houston,,1303 San Jacinto Street,Houston,77002,Donald Guter,President/Dean,(713) 659-8040,www.stcl.edu
Southern Methodist University,,6425 Boaz Lane,Dallas,75275,Gerald Turner,President,(214) 768-3300,www.smu.edu
Southwest Texas College,,2401 Garner Field Road,Uvalde,78801,Hector Gonzales,President,(830) 278-4401,www.swtjc.edu/
Southwestern Adventist University,,100 West Hillcrest,Keene,76059-0567,Ken Shaw,President,(817) 202-6202,www.swau.edu
Southwestern Christian College,,P.O. Box 10,Terrell,75160-9002,"Ervin D. Seamster, Jr.",President,(972) 524-3341,www.swcc.edu
Southwestern University,,1001 East University Avenue,Georgetown,78627-0770,Laura Skandera-Tormble,President,(512) 863-1454,www.southwestern.edu
St. Edward's University,,3001 South Congress Avenue,Austin,78704,George Martin,President,(512) 448-8411,www.stedwards.edu/
St. Mary's University,,One Camino Santa Maria,San Antonio,78228,Winston Erevelles,President,(210) 436-3722,www.stmarytx.edu
Stephen F. Austin State University,The University of Texas System,1936 North Street,Nacogdoches,75962,Neal Weaver,President,(936) 468-2011,www.sfasu.edu
Sul Ross State University,Texas State University System,East Highway 90,Alpine,79832,Pete P. Gallego,President,(432) 837-8011,www.sulross.edu
Sul Ross State University Rio Grande College,Texas State University System,"Route 3, Box 1200",Eagle Pass,78852,Pete P. Gallego,President,(830) 278-3339,www.sulross.edu
Tarleton State University,Texas A&M University System,1333 West Washington,Stephenville,76402,James Hurley,President,(254) 968-9000,www.tarleton.edu
Tarrant County College - Connect Campus,Tarrant County College District,444 North Henderson,Fort Worth,76102,Carlos Morales,President,(817) 515-1650,www.tccd.edu/locations/tcc-connect-campus/
Tarrant County College - Northeast Campus,Tarrant County College District,828 Harwood Road,Hurst,76054,Allen Goben,President,(817) 515-8223,www.tccd.edu/locations/Northeast-Campus/
Tarrant County College - Northwest Campus,Tarrant County College District,4801 Marine Creek Parkway,Fort Worth,76179-3599,Zarina Blankenbaker,President,(817) 515-8223,www.tccd.edu/locations/Northwest-Campus/
Tarrant County College - South Campus,Tarrant County College District,5301 Campus Drive,Fort Worth,76119,Peter Jordan,President,(817) 515-8223,www.tccd.edu/locations/South-Campus/
Tarrant County College - Southeast Campus,Tarrant County College District,2100 Southeast Parkway,Arlington,76018-2907,Bill Coppola,President,(817) 515-8223,www.tccd.edu/locations/Southeast-Campus/
Tarrant County College - Trinity River Campus,Tarrant County College District,300 Trinity Campus Circle,Fort Worth,76102,S. Sean Madison,President,(817) 515-8223,www.tccd.edu/locations/Trinity-River-Campus/
Temple College,,2600 South First Street,Temple,76504-7435,Christina Ponce,President,(254) 298-8282,www.templejc.edu/
Texarkana College,,2500 North Robison Road,Texarkana,75501,Jason Smith,President,(903) 838-4541,www.texarkanacollege.edu 
Texas A&M Health Science Center,Texas A&M University System,"8441 State Highway 47 Clinical Building 1, Suite 3100",Bryan,77807,Paul Ogden,Interim Executive Vice President and Acting CEO,(979) 436-9100,tamhsc.edu
Texas A&M International University,Texas A&M University System,5201 University Boulevard,Laredo,78041,Christopher Maynard,President,(956) 326-2001,www.tamiu.edu
Texas A&M University,Texas A&M University System,1265 TAMU,College Station,77843-1265,Tommy Williams,Interim President,(979) 845-3211,www.tamu.edu
Texas A&M University at Galveston,Texas A&M University System,Seawolf Parkway,Galveston,77553,Col. Michael E. Fossum,Chief Operating Officer,(877) 322-4443,www.tamug.edu
Texas A&M University-Central Texas,Texas A&M University System,1001 Leadership Place,Killeen,76549,Richard Rhodes,President,(254) 519-5400,www.tamuct.edu
Texas A&M University-Corpus Christi,Texas A&M University System,6300 Ocean Drive,Corpus Christi,78412,Kelly Miller,President,(361) 825-5700,www.tamucc.edu
Texas A&M University-Kingsville,Texas A&M University System,700 University Boulevard,Kingsville,78363,Dr. Robert Vela,President,(361) 593-3207,www.tamuk.edu
Texas A&M University-San Antonio,Texas A&M University System,One University Way,San Antonio,78224,Salvador Hector Ochoa,President,(210) 932-6299,www.tamusa.edu/
Texas A&M University-Texarkana,Texas A&M University System,7101 University Avenue,Texarkana,75503,Ross C. Alexander,President,(903) 223-3000,www.tamut.edu
Texas A&M University-Victoria,Texas A&M University System,3007 N. Ben Wilson,Victoria,77901-5731,Christian E. Hardigree,President,(361) 570-4848,www.uhv.edu
Texas Chiropractic College,,5912 Spencer Highway,Pasadena,77508,Brad McKechnie,President,(281) 487-1170,www.txchiro.edu/
Texas Christian University,,2800 South University Drive,Fort Worth,76129,"Victor Boschini, Jr.",Chancellor,(817) 257-7783,www.tcu.edu
Texas College,,2404 North Grand Avenue,Tyler,75702,Dwight Fennell,President,(903) 593-8311,www.texascollege.edu
Texas Lutheran University,,1000 West Court Street,Seguin,78155,Debbie Cottrell,President,(830) 372-8001,www.tlu.edu
Texas Southern University,,3100 Cleburne Avenue,Houston,77004,Leisa Crumpton-Young,President,(713) 313-7011,www.tsu.edu
Texas Southmost College,,80 Fort Brown,Brownsville,78520,Jesus R. Rodriguez,President,(956) 295-3600,www.tsc.edu/
Texas State Technical College,Texas State Technical College System,3801 Campus Drive,Waco,76705,Michael Reeser,Chancellor,(254) 867-4891,www.tstc.edu
Texas State Technical College-CONNECT,Texas State Technical College System,,,,,,,
Texas State Technical College-East Williamson,Texas State Technical College System,,,,,,,
Texas State Technical College-Fort Bend,Texas State Technical College System,26706 Southwest Freeway,Rosenberg,77471,,,,
Texas State Technical College-Harlingen,Texas State Technical College System,1902 North Loop 499,Harlingen,78550-3697,Stella Garcia,Interim President,(956) 364-4000,www.tstc.edu/campuses/harlingen
Texas State Technical College-Marshall,Texas State Technical College System,2400 East End Boulevard South,Marshall,75670,Barton Day,Interim President,(903) 935-1010,www.marshall.tstc.edu
Texas State Technical College-North Texas,Texas State Technical College System,119 North Lowrance,Red Oak,75154,,,,
Texas State Technical College-Waco,Texas State Technical College System,3801 Campus Drive,Waco,76705,Rob Wolaver,Interim President,(254) 799-3611,www.waco.tstc.edu
Texas State Technical College-West Texas,Texas State Technical College System,300 Homer K. Taylor Drive,Sweetwater,79556-3697,Kyle Smith,Interim President,(325) 235-7300,www.westtexas.tstc.edu
Texas State University,Texas State University System,601 University Drive,San Marcos,78666,Kelly Damphousse,President,(512) 245-2111,www.txstate.edu
Texas Tech University,Texas Tech University System,2500 Broadway,Lubbock,79409,Lawrence Schovanec,President,(806) 742-2011,www.ttu.edu
Texas Tech University Health Sciences Center,Texas Tech University System,3601 4th Street,Lubbock,79430,Lori Rice-Spearman,President,(806) 743-1000,www.ttuhsc.edu
Texas Tech University Health Sciences Center - El Paso,Texas Tech University System,5001 El Paso Drive,El Paso,79905,Richard Lange,President,(915) 783-5510,elpaso.ttuhsc.edu/
Texas Tech University SCHOOL of Veterinary Medicine,Texas Tech University System,,,,,,,
Texas Wesleyan University,,1201 Wesleyan Street,Fort Worth,76105-0010,Frederick Slabach,President,(817) 531-4422,www.txwes.edu
Texas Woman's University,,304 Administration Drive,Denton,76204-5589,Carine M. Feyten,Chancellor/President,(940) 898-3201,www.twu.edu
The University of Texas at Arlington,The University of Texas System,701 S. Nedderman Drive,Arlington,76019,Jennifer Crowley,President,(817) 272-2011,www.uta.edu
The University of Texas at Austin,The University of Texas System,University Station,Austin,78712,Jay C. Hartzell,Interim President,(512) 471-3434,www.utexas.edu
The University of Texas at Austin Dell Medical School,The University of Texas System,1912 Speedway Suite SZB,Austin,78712,Clay Johnston,Vice President,,
The University of Texas at Dallas,The University of Texas System,800 West Campbell Road,Richardson,75080-3021,Richard C. Benson,President,(972) 883-2111,www.utdallas.edu
The University of Texas at El Paso,The University of Texas System,500 West University Avenue,El Paso,79968,Heather Wilson,President,(915) 747-5000,www.utep.edu
The University of Texas at San Antonio,The University of Texas System,One UTSA Circle,San Antonio,78249-0601,Taylor Eighmy,President,(210) 458-4011,www.utsa.edu
The University of Texas at Tyler,The University of Texas System,3900 University Boulevard,Tyler,75799,Julie V. Philley,President,(903) 566-7000,www.uttyler.edu
The University of Texas Health Science Center at Houston,The University of Texas System,7000 Fannin; Ste. 1200,Houston,77080,Giuseppe N. Colasurdo,President,(713) 500-4472,www.uth.tmc.edu
The University of Texas Health Science Center at San Antonio,The University of Texas System,7703 Floyd Curl Drive,San Antonio,78229-3900,Robert A. Hromas,Interim President,(210) 567-7000,www.uthscsa.edu
The University of Texas Health Science Center at Tyler,The University of Texas System,11937 U.S. Highway 271 North,Tyler,75708-3154,Kirk A. Calhoun,President,(903) 877-3451,www.uthct.edu
The University of Texas M.D. Anderson Cancer Center,The University of Texas System,1515 Holcombe Boulevard,Houston,77030-4009,Peter W.T. Pisters,President,(713) 745-1205,www.mdanderson.org/healthsciences
The University of Texas Medical Branch at Galveston,The University of Texas System,301 University Boulevard,Galveston,77555-1305,Charles Mouton,Interim President,(409) 772-1902,www.utmb.edu
The University of Texas Permian Basin,The University of Texas System,4901 East University,Odessa,79762,Sandra K. Woodley,President,(432) 552-2020,www.utpb.edu
The University of Texas Rio Grande Valley,The University of Texas System,1201 West University Drive,Edinburg,78541,Guy Bailey,President,(956) 381-2011,www.utrgv.edu
The University of Texas Rio Grande Valley - Medical School,The University of Texas System,2102 Treasure Hills Boulevard Suite 2.112,Harlingen,78550,Guy Bailey,President,,
The University of Texas Southwestern Medical Center,The University of Texas System,5323 Harry Hines Boulevard,Dallas,75390-9096,Daniel K. Podolsky,President,(214) 648-3111,www.utsouthwestern.edu/student
Trinity University,,One Trinity Place,San Antonio,78212,Vanessa Beasley,President,(210) 999-8401,www.trinity.edu
Trinity Valley Community College,,100 Cardinal Drive,Athens,75751,Jason Morrison,President,(903) 677-8822,www.tvcc.edu
Tyler Junior College,,P.O. Box 9020,Tyler,75711,Juan Mejia,President,(903) 510-2200,www.tjc.edu
University of Dallas,,1845 E. Northgate Dr.,Irving,75062-4799,Jonathan Sanford,President,(972) 721-5203,www.udallas.edu
University of Houston,University of Houston System,4800 Calhoun Road,Houston,77204,Renu Khator,President,(713) 743-8820,www.uh.edu
University of Houston College of Medicine,University of Houston System,"Health Building 2 4849 Calhoun Road, Room 6013",Houston,77204-6064,,,(713) 743-7047,www.uh.edu/medicine/
University of Houston-Clear Lake,University of Houston System,2700 Bay Area Boulevard,Houston,77058-1098,Richard Walker,Interim President,(281) 283-7600,www.uhcl.edu
University of Houston-Downtown,University of Houston System,One Main Street,Houston,77002,Loren J. Blanchard,President,(713) 221-8000,www.uhd.edu
University of Mary Hardin-Baylor,,900 College Street,Belton,76513,Randy O' Rear,President,(254) 295-4501,www.umhb.edu
University of North Texas,University of North Texas System,1155 Union Circle #311277,Denton,76203,Harrison Keller,President,(940) 565-2000,www.unt.edu
University of North Texas at Dallas,University of North Texas System,7300 University Hills Boulevard,Dallas,75241,Warren Von Eschenbach,Interim President,(972) 780-3602,www.unt.edu/unt-dallas/
University of North Texas Health Science Center,University of North Texas System,3500 Camp Bowie Boulevard,Fort Worth,76107-2690,Michael R. Williams,President,(817) 735-2000,www.unthsc.edu/
University of St. Thomas,,3800 Montrose Boulevard,Houston,77006,Richard Ludwick,President,(713) 525-2160,www.stthom.edu
University of the Incarnate Word,,"4301 Broadway, CPO # 303",San Antonio,78209,Thomas Evans,President,(210) 829-3900,www.uiw.edu
UNT Dallas College of Law,University of North Texas System,1901 Main Street,Dallas,78501,Royal Furgeson,Dean,(214)752-3232,lawschool.untdallas.edu
Vernon College,,4400 College Drive,Vernon,76384,Dusty Johnston,President,(940) 552-6291,www.vernoncollege.edu
Victoria College,,2200 East Red River,Victoria,77901,Jennifer Kent,President,(361) 573-3291,www.victoriacollege.edu
Wayland Baptist University,,1900 W. 7th Street,Plainview,79072-6998,Donna Hedgepath,President,(806) 291-3400,www.wbu.edu
Weatherford College,,225 College Park Drive,Weatherford,76086,Tod A. Farmer,President,(817) 594-5471,www.wc.edu
West Texas A&M University,Texas A&M University System,2501 4th Avenue,Canyon,79016,Walter Wendler,President,(806) 651-2000,www.wtamu.edu
Western Texas College,,6200 College Avenue,Snyder,79549,Barbara Beebe,President,(325) 573-8511,www.wtc.edu
Wharton County Junior College,,911 Boling Highway,Wharton,77488,Betty A. McCrohan,President,(979) 532-4560,www.wcjc.edu
Wiley University,,711 Wiley Avenue,Marshall,75670-5199,"Herman J. Felton, Jr.",President,(903) 927-3200,www.wileyc.edu
